# depth,efacie
4600.0,2.0
4600.5,3.0
4601.0,3.0
4601.5,3.0
4602.0,3.0
4602.5,3.0
4603.0,3.0
4603.5,3.0
4604.0,3.0
4604.5,3.0
4605.0,3.0
4605.5,3.0
4606.0,3.0
4606.5,3.0
4607.0,3.0
4607.5,3.0
4608.0,3.0
4608.5,2.0
4609.0,2.0
4609.5,1.0
4610.0,1.0
4610.5,1.0
4611.0,2.0
4611.5,2.0
4612.0,1.0
4612.5,1.0
4613.0,2.0
4613.5,2.0
4614.0,3.0
4614.5,2.0
4615.0,2.0
4615.5,2.0
4616.0,3.0
4616.5,3.0
4617.0,3.0
4617.5,3.0
4618.0,3.0
4618.5,3.0
4619.0,3.0
4619.5,3.0
4620.0,3.0
4620.5,3.0
4621.0,3.0
4621.5,3.0
4622.0,3.0
4622.5,3.0
4623.0,3.0
4623.5,3.0
4624.0,3.0
4624.5,3.0
4625.0,3.0
4625.5,3.0
4626.0,2.0
4626.5,2.0
4627.0,2.0
4627.5,3.0
4628.0,3.0
4628.5,3.0
4629.0,3.0
4629.5,3.0
4630.0,3.0
4630.5,3.0
4631.0,3.0
4631.5,3.0
4632.0,3.0
4632.5,3.0
4633.0,3.0
4633.5,3.0
4634.0,3.0
4634.5,3.0
4635.0,3.0
4635.5,3.0
4636.0,3.0
4636.5,3.0
4637.0,3.0
4637.5,3.0
4638.0,3.0
4638.5,3.0
4639.0,3.0
4639.5,3.0
4640.0,3.0
4640.5,3.0
4641.0,3.0
4641.5,3.0
4642.0,3.0
4642.5,2.0
4643.0,3.0
4643.5,3.0
4644.0,3.0
4644.5,3.0
4645.0,3.0
4645.5,3.0
4646.0,3.0
4646.5,3.0
4647.0,2.0
4647.5,2.0
4648.0,2.0
4648.5,2.0
4649.0,2.0
4649.5,2.0
4650.0,2.0
4650.5,2.0
4651.0,2.0
4651.5,2.0
4652.0,2.0
4652.5,2.0
4653.0,3.0
4653.5,3.0
4654.0,3.0
4654.5,3.0
4655.0,3.0
4655.5,3.0
4656.0,3.0
4656.5,3.0
4657.0,3.0
4657.5,3.0
4658.0,3.0
4658.5,3.0
4659.0,2.0
4659.5,2.0
4660.0,2.0
4660.5,2.0
4661.0,3.0
4661.5,2.0
4662.0,2.0
4662.5,2.0
4663.0,3.0
4663.5,3.0
4664.0,3.0
4664.5,3.0
4665.0,3.0
4665.5,3.0
4666.0,3.0
4666.5,3.0
4667.0,3.0
4667.5,3.0
4668.0,2.0
4668.5,2.0
4669.0,2.0
4669.5,2.0
4670.0,2.0
4670.5,3.0
4671.0,3.0
4671.5,3.0
4672.0,3.0
4672.5,3.0
4673.0,3.0
4673.5,3.0
4674.0,3.0
4674.5,3.0
4675.0,3.0
4675.5,2.0
4676.0,2.0
4676.5,1.0
4677.0,1.0
4677.5,1.0
4678.0,1.0
4678.5,1.0
4679.0,1.0
4679.5,2.0
4680.0,2.0
4680.5,2.0
4681.0,3.0
4681.5,3.0
4682.0,3.0
4682.5,3.0
4683.0,3.0
4683.5,3.0
4684.0,3.0
4684.5,3.0
4685.0,3.0
4685.5,3.0
4686.0,3.0
4686.5,3.0
4687.0,3.0
4687.5,3.0
4688.0,2.0
4688.5,2.0
4689.0,1.0
4689.5,1.0
4690.0,1.0
4690.5,1.0
4691.0,1.0
4691.5,1.0
4692.0,3.0
4692.5,3.0
4693.0,3.0
4693.5,3.0
4694.0,2.0
4694.5,2.0
4695.0,2.0
4695.5,2.0
4696.0,2.0
4696.5,2.0
4697.0,2.0
4697.5,2.0
4698.0,2.0
4698.5,2.0
4699.0,2.0
4699.5,2.0
4700.0,2.0
4700.5,3.0
4701.0,3.0
4701.5,3.0
4702.0,2.0
4702.5,2.0
4703.0,3.0
4703.5,3.0
4704.0,3.0
4704.5,2.0
4705.0,2.0
4705.5,2.0
4706.0,1.0
4706.5,2.0
4707.0,2.0
4707.5,2.0
4708.0,2.0
4708.5,3.0
4709.0,3.0
4709.5,3.0
4710.0,3.0
4710.5,3.0
4711.0,3.0
4711.5,3.0
4712.0,3.0
4712.5,3.0
4713.0,2.0
4713.5,2.0
4714.0,2.0
4714.5,1.0
4715.0,1.0
4715.5,1.0
4716.0,2.0
4716.5,2.0
4717.0,2.0
4717.5,2.0
4718.0,2.0
4718.5,2.0
4719.0,1.0
4719.5,1.0
4720.0,1.0
4720.5,1.0
4721.0,1.0
4721.5,1.0
4722.0,1.0
4722.5,1.0
4723.0,2.0
4723.5,2.0
4724.0,2.0
4724.5,2.0
4725.0,2.0
4725.5,2.0
4726.0,2.0
4726.5,2.0
4727.0,3.0
4727.5,3.0
4728.0,3.0
4728.5,3.0
4729.0,3.0
4729.5,2.0
4730.0,2.0
4730.5,2.0
4731.0,2.0
4731.5,2.0
4732.0,2.0
4732.5,2.0
4733.0,2.0
4733.5,2.0
4734.0,2.0
4734.5,2.0
4735.0,2.0
4735.5,2.0
4736.0,1.0
4736.5,1.0
4737.0,1.0
4737.5,1.0
4738.0,1.0
4738.5,1.0
4739.0,1.0
4739.5,2.0
4740.0,2.0
4740.5,2.0
4741.0,2.0
4741.5,2.0
4742.0,2.0
4742.5,2.0
4743.0,3.0
4743.5,3.0
4744.0,3.0
4744.5,2.0
4745.0,2.0
4745.5,2.0
4746.0,2.0
4746.5,2.0
4747.0,2.0
4747.5,1.0
4748.0,1.0
4748.5,1.0
4749.0,1.0
4749.5,1.0
4750.0,1.0
4750.5,1.0
4751.0,1.0
4751.5,1.0
4752.0,1.0
4752.5,1.0
4753.0,1.0
4753.5,1.0
4754.0,2.0
4754.5,2.0
4755.0,2.0
4755.5,1.0
4756.0,1.0
4756.5,1.0
4757.0,1.0
4757.5,1.0
4758.0,1.0
4758.5,1.0
4759.0,1.0
4759.5,1.0
4760.0,1.0
4760.5,1.0
4761.0,1.0
4761.5,1.0
4762.0,1.0
4762.5,1.0
4763.0,2.0
4763.5,2.0
4764.0,3.0
4764.5,3.0
4765.0,3.0
4765.5,3.0
4766.0,3.0
4766.5,3.0
4767.0,2.0
4767.5,2.0
4768.0,2.0
4768.5,2.0
4769.0,2.0
4769.5,2.0
4770.0,2.0
4770.5,2.0
4771.0,2.0
4771.5,2.0
4772.0,2.0
4772.5,2.0
4773.0,1.0
4773.5,1.0
4774.0,1.0
4774.5,1.0
4775.0,1.0
4775.5,1.0
4776.0,1.0
4776.5,1.0
4777.0,1.0
4777.5,1.0
4778.0,1.0
4778.5,1.0
4779.0,1.0
4779.5,1.0
4780.0,1.0
4780.5,1.0
4781.0,1.0
4781.5,1.0
4782.0,1.0
4782.5,1.0
4783.0,1.0
4783.5,1.0
4784.0,1.0
4784.5,1.0
4785.0,1.0
4785.5,1.0
4786.0,1.0
4786.5,1.0
4787.0,1.0
4787.5,1.0
4788.0,1.0
4788.5,1.0
4789.0,1.0
4789.5,1.0
4790.0,1.0
4790.5,1.0
4791.0,1.0
